DEMANDA,TIPO DEMANDA,MÓDULO,MANUAL,DATA LINKAGEM,CAPITULO,MONTADORA,VERSÃO
51981,UPGRADE,SIMPLO,PICO SCOPE,22/07/2026,42,  ,2026/3
51980,UPGRADE,SIMPLO,PICO SCOPE,22/07/2026,34,  ,2026/3
51979,UPGRADE,SIMPLO,PICO SCOPE,22/07/2026,37,  ,2026/3
51978,UPGRADE,SIMPLO,PICO SCOPE,22/07/2026,36,  ,2026/3
51977,UPGRADE,SIMPLO,PICO SCOPE,22/07/2026,35,  ,2026/3
51976,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,33,  ,2026/3
51975,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,32,  ,2026/3
51896,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,520,  ,2026/3
51862,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,541,  ,2026/3
51851,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,598,  ,2026/3
52001,CORREÇÃO,SIMPLO,LUBRITEC,21/07/2026,4502,  ,2026/3
51828,CORREÇÃO,SIMPLO,PICO SCOPE,21/07/2026,517,  ,2026/3
51827,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,21,  ,2026/3
51826,CORREÇÃO,SIMPLO,PICO SCOPE,21/07/2026,501,  ,2026/3
51810,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,547,  ,2026/3
51782,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,663,  ,2026/3
51757,CORREÇÃO,SIMPLO,SCOPE TRUCK (PICO SCOPE),21/07/2026,391,  ,2026/3
51757,CORREÇÃO,SIMPLO,PICO SCOPE,21/07/2026,391,  ,2026/3
51646,CORREÇÃO,SIMPLO,PICO SCOPE,21/07/2026,793,  ,2026/3
51603,UPGRADE,SIMPLO,PICO SCOPE,21/07/2026,230,  ,2024/1
49022,NOVA,SIMPLO,ABS/ASR/ESP,21/07/2026,1064,NISSAN,2026/3
51602,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,539,  ,2026/3
51537,CORREÇÃO,SIMPLO,PICO SCOPE,20/07/2026,69,  ,2026/3
51491,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,668,  ,2026/3
51996,UPGRADE,SIMPLO,ELECTRA,20/07/2026,185,  ,2026/3
51490,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,596,  ,2026/3
51291,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,198,  ,2026/3
51288,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,599,  ,2026/3
51123,UPGRADE,SIMPLO,PICO SCOPE,20/07/2026,763,  ,2026/3
50913,UPGRADE,SIMPLO,PICO SCOPE,17/07/2026,694,  ,2026/3
50913,UPGRADE,SIMPLO,SCOPE TRUCK (PICO SCOPE),17/07/2026,694,  ,2026/3
51987,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1096,  ,2026/3
45943,UPGRADE,SIMPLO,MT PRO,17/07/2026,263,  ,2026/3
51414,UPGRADE,SIMPLO,DIESEL,17/07/2026,112,  ,2026/3
51921,CORREÇÃO,SIMPLO,INJEÇÃO,17/07/2026,1064,  ,2026/3
51751,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1601,  ,2026/3
51669,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1627,  ,2026/3
51953,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1823,  ,2026/3
51952,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1753,  ,2026/3
51950,UPGRADE,SIMPLO,INJEÇÃO,17/07/2026,1752,  ,2026/3
50885,UPGRADE,SIMPLO,PICO SCOPE,16/07/2026,59,  ,2026/3
46013,UPGRADE,SIMPLO,MT PRO,16/07/2026,75,  ,2026/3
51850,UPGRADE,SIMPLO,MT PRO,16/07/2026,221,  ,2026/3
51829,UPGRADE,SIMPLO,MT PRO,16/07/2026,19,  ,2026/3
51825,CORREÇÃO,SIMPLO,MT PRO,16/07/2026,27,  ,2026/3
51809,UPGRADE,SIMPLO,MT PRO,16/07/2026,117,  ,2026/3
51756,CORREÇÃO,SIMPLO,MT PRO,16/07/2026,97,  ,2026/3
51756,CORREÇÃO,SIMPLO,SCOPE TRUCK (MT PRO),16/07/2026,97,  ,2026/3
51745,UPGRADE,SIMPLO,MT PRO,16/07/2026,60,  ,2026/3
51745,UPGRADE,SIMPLO,SCOPE TRUCK (MT PRO),16/07/2026,60,  ,2026/3
51645,CORREÇÃO,SIMPLO,MT PRO,16/07/2026,433,  ,2026/3
51536,CORREÇÃO,SIMPLO,MT PRO,16/07/2026,29,  ,2026/3
51391,UPGRADE,SIMPLO,MT PRO,15/07/2026,257,  ,2026/3
50912,UPGRADE,SIMPLO,SCOPE TRUCK (MT PRO),15/07/2026,415,  ,2026/3
50912,UPGRADE,SIMPLO,MT PRO,15/07/2026,415,  ,2026/3
50884,UPGRADE,SIMPLO,MT PRO,15/07/2026,31,  ,2026/3
50324,UPGRADE,SIMPLO,MT PRO,15/07/2026,64,  ,2026/3
49268,UPGRADE,SIMPLO,MT PRO,15/07/2026,30,  ,2026/3
49266,UPGRADE,SIMPLO,MT PRO,15/07/2026,390,  ,2026/3
46176,UPGRADE,SIMPLO,MT PRO,15/07/2026,131,  ,2026/3
46072,UPGRADE,SIMPLO,MT PRO,15/07/2026,369,  ,2026/3
45968,UPGRADE,SIMPLO,MT PRO,15/07/2026,206,  ,2026/3
45964,UPGRADE,SIMPLO,MT PRO,14/07/2026,160,  ,2026/3
51932,UPGRADE,SIMPLO,ELECTRA,14/07/2026,304,  ,2026/3
45951,UPGRADE,SIMPLO,MT PRO,13/07/2026,199,  ,2026/3
45949,UPGRADE,SIMPLO,MT PRO,13/07/2026,282,  ,2026/3
45573,UPGRADE,SIMPLO,MT PRO,13/07/2026,208,  ,2026/3
51913,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,13/07/2026,815,  ,2026/3
43544,UPGRADE,SIMPLO,INJEÇÃO,13/07/2026,1599,  ,2026/3
51874,CORREÇÃO,SIMPLO,DIESEL,13/07/2026,367,  ,2026/3
51870,CORREÇÃO,SIMPLO,DIESEL,13/07/2026,411,  ,2026/3
51882,CORREÇÃO,SIMPLO,INJEÇÃO,10/07/2026,2226,  ,2026/3
51815,CORREÇÃO,SIMPLO,INJEÇÃO,10/07/2026,1789,  ,2026/3
47600,UPGRADE,SIMPLO,INJEÇÃO,10/07/2026,1113,  ,2026/3
51620,UPGRADE,SIMPLO,ABS/ASR/ESP,10/07/2026,776,  ,2026/3
51565,UPGRADE,SIMPLO,ELECTRA,10/07/2026,189,  ,2026/3
50802,UPGRADE,SIMPLO,CÂMBIO TRUCK,10/07/2026,260,  ,2026/3
50802,UPGRADE,SIMPLO,ELECTRA TRUCK,10/07/2026,209,  ,2026/3
51817,UPGRADE,SIMPLO,MOTORES - LINHA PESADA,10/07/2026,770,  ,2026/3
51814,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,10/07/2026,1340,  ,2026/3
51741,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,10/07/2026,84,  ,2026/3
51560,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,10/07/2026,814,  ,2026/3
51557,CORREÇÃO,SIMPLO,MOTORES - LINHA LEVE,10/07/2026,26,  ,2026/3
51488,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,10/07/2026,1279,  ,2026/3
51848,CORREÇÃO,SIMPLO,LUBRITEC,10/07/2026,1336,  ,2026/3
51831,CORREÇÃO,SIMPLO,LUBRITEC,09/07/2026,5531,  ,2026/3
51806,UPGRADE,SIMPLO,LUBRITEC,09/07/2026,2496,  ,2026/3
51790,UPGRADE,SIMPLO,LUBRITEC,09/07/2026,2499,  ,2026/3
51777,UPGRADE,SIMPLO,LOCAR,09/07/2026,640,  ,2026/3
51663,UPGRADE,SIMPLO,LOCAR,09/07/2026,916,  ,2026/3
51522,UPGRADE,SIMPLO,LOCAR,09/07/2026,751,  ,2026/3
51434,UPGRADE,SIMPLO,LOCAR,09/07/2026,641,  ,2026/3
51433,UPGRADE,SIMPLO,LOCAR,09/07/2026,553,  ,2026/3
51375,UPGRADE,SIMPLO,LOCAR TRUCK,09/07/2026,667,  ,2026/3
51375,UPGRADE,SIMPLO,LOCAR,09/07/2026,667,  ,2026/3
51361,UPGRADE,SIMPLO,LOCAR,09/07/2026,469,  ,2026/3
51276,UPGRADE,SIMPLO,LOCAR,09/07/2026,845,  ,2026/3
51869,CORREÇÃO,SIMPLO,INJEÇÃO,09/07/2026,1067,  ,2026/3
47057,CORREÇÃO,SIMPLO,LOCAR TRUCK,09/07/2026,886,  ,2026/3
47057,CORREÇÃO,SIMPLO,LOCAR,09/07/2026,886,  ,2026/3
51830,UPGRADE,SIMPLO,ABS/ASR/ESP,09/07/2026,213,  ,2026/3
51863,CORREÇÃO,SIMPLO,INJEÇÃO,09/07/2026,1782,  ,2026/3
51781,UPGRADE,SIMPLO,INJEÇÃO,09/07/2026,1491,  ,2026/3
51668,UPGRADE,SIMPLO,INJEÇÃO,08/07/2026,1602,  ,2026/3
51516,UPGRADE,SIMPLO,INJEÇÃO,08/07/2026,444,  ,2026/3
47825,UPGRADE,SIMPLO,INJEÇÃO,08/07/2026,1469,  ,2026/3
44469,UPGRADE,SIMPLO,INJEÇÃO,08/07/2026,2148,  ,2026/3
51678,UPGRADE,SIMPLO,DIESEL,08/07/2026,87,  ,2026/3
50946,UPGRADE,SIMPLO,DIESEL,08/07/2026,389,  ,2026/3
51704,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,920,  ,2026/3
51854,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,831,  ,2026/3
51849,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,830,  ,2026/3
47363,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,825,  ,2026/3
47362,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,826,  ,2026/3
47361,UPGRADE,SIMPLO,CLIMA CAR,08/07/2026,805,  ,2026/3
48939,UPGRADE,SIMPLO,ABS/ASR/ESP,08/07/2026,1023,  ,2026/3
49695,NOVA,TRACTOR,MOTORES TRACTOR,07/07/2026,20123,  ,2026/3
49695,NOVA,SIMPLO,MOTORES - LINHA PESADA,07/07/2026,1542,  ,2026/3
49830,NOVA,SIMPLO,MOTORES - LINHA PESADA,07/07/2026,1541,GWM,2026/3
51843,CORREÇÃO,SIMPLO,CLIMA CAR,07/07/2026,54,  ,2026/3
51847,CORREÇÃO,SIMPLO,CÂMBIO,07/07/2026,117,  ,2026/3
51841,CORREÇÃO,SIMPLO,CÂMBIO,07/07/2026,20,  ,2026/3
51842,CORREÇÃO,SIMPLO,ELECTRA,07/07/2026,130,  ,2026/3
51816,UPGRADE,SIMPLO,ELECTRA,07/07/2026,127,  ,2026/3
51634,UPGRADE,SIMPLO,ELECTRA,07/07/2026,160,  ,2026/3
44321,UPGRADE,SIMPLO,ELECTRA,07/07/2026,160,  ,2026/3
51767,UPGRADE,SIMPLO,INJEÇÃO,07/07/2026,1720,  ,2026/3
51766,UPGRADE,SIMPLO,INJEÇÃO,07/07/2026,1258,  ,2024/1
51765,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,1503,  ,2026/3
51379,NOVA,SIMPLO,MOTORES - LINHA LEVE,06/07/2026,1540,  ,2026/3
49932,NOVA,SIMPLO,TORKS - FREIOS,06/07/2026,351B,CITROEN,2026/3
49931,NOVA,SIMPLO,TORKS - DIREÇÃO,06/07/2026,351A,CITROEN,2026/3
51762,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,1115,  ,2026/3
51760,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,1120,  ,2026/3
51755,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,2194,  ,2026/3
51637,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,1649,  ,2026/3
51632,UPGRADE,SIMPLO,INJEÇÃO,06/07/2026,1680,  ,2026/3
51731,NOVA,SIMPLO,LOCAR TRUCK,06/07/2026,1029,MERCEDES-BENZ,2026/3
51539,NOVA,SIMPLO,LOCAR TRUCK,06/07/2026,1028,TOYOTA,2026/3
51538,NOVA,SIMPLO,LOCAR TRUCK,06/07/2026,1027,VOLKSWAGEN,2026/3
49359,NOVA,SIMPLO,LOCAR,06/07/2026,1026,HYUNDAI,2026/3
26488,NOVA,TRACTOR,INJEÇÃO TRACTOR,06/07/2026,100,MASSEY FERGUSON,2026/3 T
24638,NOVA,TRACTOR,INJEÇÃO TRACTOR,06/07/2026,99,VALTRA,2026/3 T
49682,NOVA,TRACTOR,INJEÇÃO TRACTOR,06/07/2026,98,JOHN DEERE,2026/3 T
51822,UPGRADE,SIMPLO,CLIMA CAR,06/07/2026,1160,  ,2026/3
51833,CORREÇÃO,SIMPLO,CLIMA CAR,06/07/2026,547,  ,2026/3
51586,NOVA,MOTOS,MOTORES MOTOS,2026-07-06,10,HONDA,2026/2 M
51582,NOVA,MOTOS,MOTORES MOTOS,06/07/2026,09,HONDA,2026/2 M
51494,NOVA,MOTOS,MOTORES MOTOS,05/07/2026,8,HONDA,2026/2 M
51101,NOVA,MOTOS,MOTORES MOTOS,05/07/2026,07,BMW,2026/2 M
51584,NOVA,MOTOS,MOTORES MOTOS,05/07/2026,06,BMW,2026/2 M
51102,NOVA,MOTOS,MOTORES MOTOS,05/07/2026,05,BMW,2026/2 M
24641,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,203,VALTRA,2026/3 T
24674,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,202,JOHN DEERE,2026/3 T
51652,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,201,JOHN DEERE,2026/3 T
26571,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,200,MASSEY FERGUSON,2026/3 T
34226,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,199,MASSEY FERGUSON,2026/3 T
26576,NOVA,TRACTOR,CLIMA TRACTOR,05/07/2026,198,MASSEY FERGUSON,2026/3 T
51754,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1259,  ,2026/3
51748,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1779,  ,2026/3
51743,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1114,  ,2026/3
51742,CORREÇÃO,SIMPLO,INJEÇÃO,03/07/2026,106,  ,2026/3
51452,NOVA,SIMPLO,REVISA CAR,03/07/2026,76,  ,2026/3
51677,NOVA,SIMPLO,REVISA CAR,03/07/2026,53,TOYOTA,2026/3
51640,NOVA,SIMPLO,REVISA CAR,03/07/2026,52,  ,2026/3
51471,NOVA,HIBRIDOS,H&E - REVISA CAR,03/07/2026,94A,  ,2026/3
51679,CORREÇÃO,SIMPLO,INJEÇÃO,03/07/2026,567,  ,2026/3
51555,NOVA,HIBRIDOS,H&E - REVISA CAR,03/07/2026,93A,  ,2026/3 H&E
51615,NOVA,HIBRIDOS,H&E - REVISA CAR,03/07/2026,92A,  ,2026/3 H&E
51660,CORREÇÃO,SIMPLO,INJEÇÃO,03/07/2026,991,  ,2026/3
51639,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1614,  ,2026/3
51509,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1585,  ,2026/3
51508,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,1584,  ,2026/3
51590,NOVA,HIBRIDOS,H&E - REVISA CAR,03/07/2026,91A,  ,2026/3 H&E
51507,UPGRADE,SIMPLO,INJEÇÃO,03/07/2026,56,  ,2026/3
51261,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,1887,  ,2026/3
51259,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,182,  ,2026/3
51824,CORREÇÃO,SIMPLO,ELECTRA,02/07/2026,310,  ,2026/3
51202,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,80,  ,2026/3
47698,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,2077,  ,2026/3
47239,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,2206,  ,2026/3
46980,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,2116,  ,2026/3
46572,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,1121,  ,2026/3
40340,UPGRADE,SIMPLO,INJEÇÃO,02/07/2026,1609,  ,2026/3
51301,NOVA,TRACTOR,MT PRO TRACTOR,02/07/2026,38,CASE,2026/3 T
51299,NOVA,TRACTOR,MT PRO TRACTOR,02/07/2026,37,  ,2026/3 T
51298,NOVA,TRACTOR,MT PRO TRACTOR,02/07/2026,36,JOHN DEERE,2026/3 T
51807,NOVA,SIMPLO,PICO SCOPE,02/07/2026,881,CITROEN,2026/3
51791,NOVA,SIMPLO,PICO SCOPE,02/07/2026,880,LEXUS,2026/3
51779,NOVA,SIMPLO,PICO SCOPE,02/07/2026,879,BMW,2026/3
51778,NOVA,SIMPLO,PICO SCOPE,02/07/2026,878,HYUNDAI,2026/3
51392,NOVA,SIMPLO,MT PRO,02/07/2026,524,HYUNDAI,2026/3
51390,NOVA,SIMPLO,MT PRO,01/07/2026,523,BMW,2026/3
51365,CORREÇÃO,SIMPLO,ARLA,01/07/2026,27,  ,2026/3
51275,UPGRADE,SIMPLO,ARLA,01/07/2026,14,  ,2026/3
51610,NOVA,SIMPLO,MT PRO,01/07/2026,522,LEXUS,2026/3
51661,NOVA,SIMPLO,MT PRO,01/07/2026,521,CITROEN,2024/1
51242,UPGRADE,SIMPLO,DIESEL,01/07/2026,225,  ,2026/3
51241,UPGRADE,SIMPLO,DIESEL,01/07/2026,224,  ,2026/3
51240,UPGRADE,SIMPLO,DIESEL,01/07/2026,223,  ,2026/3
51238,UPGRADE,SIMPLO,DIESEL,01/07/2026,222,  ,2026/3
51237,UPGRADE,SIMPLO,DIESEL,01/07/2026,226,  ,2026/3
51218,UPGRADE,SIMPLO,DIESEL,01/07/2026,207,  ,2026/3
50937,UPGRADE,SIMPLO,DIESEL,01/07/2026,423,  ,2026/3
51805,UPGRADE,SIMPLO,ELECTRA,30/06/2026,195,  ,2026/3
51770,CORREÇÃO,SIMPLO,DIESEL,30/06/2026,58,  ,2026/3
51753,CORREÇÃO,SIMPLO,DIESEL,30/06/2026,219,  ,2026/3
51744,CORREÇÃO,SIMPLO,DIESEL,30/06/2026,414,  ,2026/3
51775,CORREÇÃO,SIMPLO,CÂMBIO TRUCK,30/06/2026,120,  ,2026/3
51775,CORREÇÃO,SIMPLO,CÂMBIO,30/06/2026,120,  ,2026/3
51772,CORREÇÃO,SIMPLO,ELECTRA TRUCK,30/06/2026,177,  ,2026/3
51675,UPGRADE,SIMPLO,MOTORES - LINHA LEVE,30/06/2026,882,  ,2026/3
51746,CORREÇÃO,SIMPLO,MOTORES - LINHA LEVE,30/06/2026,797,  ,2026/3
51749,CORREÇÃO,SIMPLO,ELECTRA,30/06/2026,230,  ,2026/3
51387,NOVA,SIMPLO,PICO SCOPE,29/06/2026,877,CHEVROLET,2026/3
49818,NOVA,SIMPLO,CÂMBIO,29/06/2026,307,  ,2026/3
49818,UPGRADE,SIMPLO,ELECTRA,29/06/2026,335,  ,2026/3
51730,NOVA,SIMPLO,PICO SCOPE,29/06/2026,876,MERCEDES-BENZ,2026/3
46918,UPGRADE,SIMPLO,ELECTRA,29/06/2026,187,  ,2026/3
